time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-03-26 08:00:00+00:00,2026-03-26 09:00:00+00:00,69984.85,69993.63428914503,69984.85,69533.62,69624.99743477955,70364.22293001541
2026-03-26 09:00:00+00:00,2026-03-26 10:00:00+00:00,69533.62,69544.98401061661,69533.62,69481.99,69143.21420935745,69949.08837174618
2026-03-26 10:00:00+00:00,2026-03-26 11:00:00+00:00,69481.99,69486.29119255902,69481.99,69238.42,69094.98888157256,69879.8095470106
2026-03-26 11:00:00+00:00,2026-03-26 12:00:00+00:00,69238.42,69236.0873741746,69238.42,69396.79,68847.10837851357,69627.26406067016
2026-03-26 12:00:00+00:00,2026-03-26 13:00:00+00:00,69396.79,69395.24178803968,69396.79,69606.0,69002.39395051183,69790.32620628038
2026-03-26 13:00:00+00:00,2026-03-26 14:00:00+00:00,69606.0,69599.88316295636,69606.0,69432.65,69198.53791127638,70003.55618074108
2026-03-26 14:00:00+00:00,2026-03-26 15:00:00+00:00,69432.65,69443.8411133729,69432.65,69035.84,69049.73966485355,69840.19189624858
2026-03-26 15:00:00+00:00,2026-03-26 16:00:00+00:00,69035.84,69094.57869975384,69035.84,68881.49,68681.55709256654,69510.08404282636
2026-03-26 16:00:00+00:00,2026-03-26 17:00:00+00:00,68881.49,68908.41569165468,68881.49,68437.5,68501.84211274133,69317.40237465357
2026-03-26 17:00:00+00:00,2026-03-26 18:00:00+00:00,68437.5,68436.6677102885,68437.5,,68006.78129039369,68869.27154057244
