time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-03-26 08:00:00+00:00,2026-03-26 09:00:00+00:00,69984.85,69974.62028810737,69984.85,69533.62,69612.02722368568,70339.10201653745
2026-03-26 09:00:00+00:00,2026-03-26 10:00:00+00:00,69533.62,69530.95893009844,69533.62,69481.99,69137.12609237846,69927.03519783689
2026-03-26 10:00:00+00:00,2026-03-26 11:00:00+00:00,69481.99,69480.39369891654,69481.99,69238.42,69096.78271557554,69866.134410745
2026-03-26 11:00:00+00:00,2026-03-26 12:00:00+00:00,69238.42,69236.32413946973,69238.42,69396.79,68854.576687192,69620.18809764046
2026-03-26 12:00:00+00:00,2026-03-26 13:00:00+00:00,69396.79,69397.30952347926,69396.79,69606.0,69011.99506285637,69784.77530914976
2026-03-26 13:00:00+00:00,2026-03-26 14:00:00+00:00,69606.0,69613.76415006159,69606.0,69432.65,69220.40423433806,70009.35941856886
2026-03-26 14:00:00+00:00,2026-03-26 15:00:00+00:00,69432.65,69442.18024764031,69432.65,69035.84,69054.57687385619,69831.95923935116
2026-03-26 15:00:00+00:00,2026-03-26 16:00:00+00:00,69035.84,69043.01031729268,69035.84,68881.49,68635.62828157775,69452.81034097067
2026-03-26 16:00:00+00:00,2026-03-26 17:00:00+00:00,68881.49,68884.12374896271,68881.49,68437.5,68485.57063331739,69284.99625224726
2026-03-26 17:00:00+00:00,2026-03-26 18:00:00+00:00,68437.5,68433.39767987559,68437.5,,68013.55858004105,68855.8283934035
