time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-03-26 16:30:00+00:00,2026-03-26 16:45:00+00:00,2064.1,2063.7942176308898,2064.1,2059.21,2051.701879746011,2075.957825439029
2026-03-26 16:45:00+00:00,2026-03-26 17:00:00+00:00,2059.21,2058.901293672176,2059.21,2061.43,2047.042405446458,2070.828882589964
2026-03-26 17:00:00+00:00,2026-03-26 17:15:00+00:00,2061.43,2061.121397142996,2061.43,2066.7,2049.4332629084024,2072.8761900409177
2026-03-26 17:15:00+00:00,2026-03-26 17:30:00+00:00,2066.7,2066.415181688932,2066.7,2065.26,2054.6313629405845,2078.2665835506286
2026-03-26 17:30:00+00:00,2026-03-26 17:45:00+00:00,2065.26,2064.95413638263,2065.26,2047.68,2053.4744088830234,2076.4980400623217
2026-03-26 17:45:00+00:00,2026-03-26 18:00:00+00:00,2047.68,2047.564523877456,2047.68,2049.12,2034.346142962718,2060.868792631198
2026-03-26 18:00:00+00:00,2026-03-26 18:15:00+00:00,2049.12,2049.053711982737,2049.12,2035.47,2036.0881930599307,2062.101793478968
2026-03-26 18:15:00+00:00,2026-03-26 18:30:00+00:00,2035.47,2035.6103462466083,2035.47,2040.44,2021.9833175406131,2049.3292134508456
2026-03-26 18:30:00+00:00,2026-03-26 18:45:00+00:00,2040.44,2040.14565909456,2040.44,2045.29,2026.502791719324,2053.88037328638
2026-03-26 18:45:00+00:00,2026-03-26 19:00:00+00:00,2045.29,2045.0166161572583,2045.29,,2031.358726352436,2058.766335116381
