time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-03-26 08:00:00+00:00,2026-03-26 09:00:00+00:00,2118.46,2118.5184215304125,2118.46,2081.11,2104.7105838851894,2132.416844732576
2026-03-26 09:00:00+00:00,2026-03-26 10:00:00+00:00,2081.11,2086.472840294044,2081.11,2077.41,2066.2345239657484,2106.9093865149557
2026-03-26 10:00:00+00:00,2026-03-26 11:00:00+00:00,2077.41,2076.288659796528,2077.41,2067.4,2056.5247641167844,2096.242493170801
2026-03-26 11:00:00+00:00,2026-03-26 12:00:00+00:00,2067.4,2067.2579935424515,2067.4,2072.56,2047.961409110792,2086.736396913214
2026-03-26 12:00:00+00:00,2026-03-26 13:00:00+00:00,2072.56,2071.897211154358,2072.56,2080.08,2052.5871135484044,2091.388972119246
2026-03-26 13:00:00+00:00,2026-03-26 14:00:00+00:00,2080.08,2078.916658559596,2080.08,2074.99,2059.318138549322,2098.70169758284
2026-03-26 14:00:00+00:00,2026-03-26 15:00:00+00:00,2074.99,2074.566933177349,2074.99,2068.61,2055.4998946026785,2093.810839656981
2026-03-26 15:00:00+00:00,2026-03-26 16:00:00+00:00,2068.61,2069.130116565652,2068.61,2059.21,2050.55509126203,2087.8734043882864
2026-03-26 16:00:00+00:00,2026-03-26 17:00:00+00:00,2059.21,2060.339586671645,2059.21,2047.68,2042.0866883833137,2078.7556358672423
2026-03-26 17:00:00+00:00,2026-03-26 18:00:00+00:00,2047.68,2047.2222737391128,2047.68,,2029.1187283349143,2065.487336728077
