time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-04-03 15:00:00+00:00,,66963.17,66959.88112240727,66963.17,66816.13,66764.66847920696,67155.6645461856
2026-04-03 15:30:00+00:00,,66848.03,66853.36244883874,66848.03,66984.12,66660.97494120595,67046.3051981722
2026-04-03 16:00:00+00:00,,66896.0,66909.78782560377,66896.0,67001.77,66719.75475145444,67100.36215727727
2026-04-03 16:30:00+00:00,,66974.14,66978.72789434287,66974.14,66873.61,66791.01852087912,67166.96480593472
2026-04-03 17:00:00+00:00,,66953.89,66950.00822635312,66953.89,66825.36,66764.89785510885,67135.63182911038
2026-04-03 17:30:00+00:00,,66897.49,66907.98259995441,66897.49,66870.73,66724.37213668023,67092.09831792253
2026-04-03 18:00:00+00:00,,66832.0,66841.02143856186,66832.0,66805.99,66658.97708667288,67023.56294998586
2026-04-03 18:30:00+00:00,,66849.71,66863.5210250568,66849.71,66790.0,66682.79824357522,67044.73359887778
2026-04-03 19:00:00+00:00,,66767.99,66772.72829278753,66767.99,66843.0,66593.6319112891,66952.30633466314
2026-04-03 19:30:00+00:00,,66843.0,66856.1616649155,66843.0,,66678.2242543433,67034.57391899823
