time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-04-03 10:00:00+00:00,,2058.33,2057.7202027632443,2058.33,2062.71,2055.004893022392,2060.4391002848424
2026-04-03 11:00:00+00:00,,2059.02,2058.4135804641382,2059.02,2049.86,2055.7552707896666,2061.075327615057
2026-04-03 12:00:00+00:00,,2060.73,2060.201808439369,2060.73,2048.02,2057.494929846592,2062.912248251962
2026-04-03 13:00:00+00:00,,2045.31,2044.841579860686,2045.31,2054.11,2041.6089581937133,2048.0793199627046
2026-04-03 14:00:00+00:00,,2049.49,2049.052869422337,2049.49,2050.96,2045.793737445195,2052.317193487543
2026-04-03 15:00:00+00:00,,2055.85,2055.3802771189544,2055.85,2054.48,2052.0765564893413,2058.6893165413603
2026-04-03 16:00:00+00:00,,2052.51,2052.1982915926155,2052.51,2049.95,2048.8947556185026,2055.5071540237864
2026-04-03 17:00:00+00:00,,2051.65,2051.331474740674,2051.65,2049.04,2047.8735326745823,2054.795255723642
2026-04-03 18:00:00+00:00,,2050.04,2049.6848461631894,2050.04,2047.6,2046.3161630553132,2053.059074858832
2026-04-03 19:00:00+00:00,,2047.6,2047.282925563585,2047.6,,2043.952762194223,2050.618514688508
