time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-03-26 08:00:00+00:00,2026-03-26 09:00:00+00:00,69984.85,69689.703125,69984.85,69533.62,68987.34820813664,70399.2086635651
2026-03-26 09:00:00+00:00,2026-03-26 10:00:00+00:00,69533.62,69509.828125,69533.62,69481.99,68826.39709762121,70200.04547258267
2026-03-26 10:00:00+00:00,2026-03-26 11:00:00+00:00,69481.99,69365.3046875,69481.99,69238.42,68699.8113140043,70037.24467884946
2026-03-26 11:00:00+00:00,2026-03-26 12:00:00+00:00,69238.42,69230.703125,69238.42,69396.79,68583.07109256796,69884.45076647012
2026-03-26 12:00:00+00:00,2026-03-26 13:00:00+00:00,69396.79,69223.7890625,69396.79,69606.0,68582.45634999785,69871.1190470454
2026-03-26 13:00:00+00:00,2026-03-26 14:00:00+00:00,69606.0,69289.015625,69606.0,69432.65,68631.61166908352,69952.71667857665
2026-03-26 14:00:00+00:00,2026-03-26 15:00:00+00:00,69432.65,69360.5546875,69432.65,69035.84,68713.05920792588,70014.15163309679
2026-03-26 15:00:00+00:00,2026-03-26 16:00:00+00:00,69035.84,69284.3515625,69035.84,68881.49,68642.45679398005,69932.24886812452
2026-03-26 16:00:00+00:00,2026-03-26 17:00:00+00:00,68881.49,69063.1171875,68881.49,68437.5,68421.9988253621,69710.24286835597
2026-03-26 17:00:00+00:00,2026-03-26 18:00:00+00:00,68437.5,68714.3671875,68437.5,,68048.59456300183,69386.65358631457
