time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-04-03 10:00:00+00:00,,2058.33,2057.9148985803167,2058.33,2062.71,2055.1648238628336,2060.668653251284
2026-04-03 11:00:00+00:00,,2059.02,2058.630677239663,2059.02,2049.86,2055.9264370511787,2061.338474420686
2026-04-03 12:00:00+00:00,,2060.73,2060.360384374017,2060.73,2048.02,2057.5758691269275,2063.148667902646
2026-04-03 13:00:00+00:00,,2045.31,2045.1197483305991,2045.31,2054.11,2041.7771674410344,2048.467801338856
2026-04-03 14:00:00+00:00,,2049.49,2049.912279290176,2049.49,2050.96,2046.5773318510448,2053.25266110711
2026-04-03 15:00:00+00:00,,2055.85,2055.8319423570047,2055.85,2054.48,2052.535134066403,2059.13404602342
2026-04-03 16:00:00+00:00,,2052.51,2052.524589336519,2052.51,2049.95,2049.2648495968347,2055.7895143030773
2026-04-03 17:00:00+00:00,,2051.65,2051.6764559091425,2051.65,2049.04,2048.212610609557,2055.146159108536
2026-04-03 18:00:00+00:00,,2050.04,2050.126594871182,2050.04,2047.6,2046.7526822980476,2053.5060690767264
2026-04-03 19:00:00+00:00,,2047.6,2047.929028617527,2047.6,,2044.5627772193816,2051.3008223490256
