time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-03-26 16:30:00+00:00,2026-03-26 16:45:00+00:00,68879.96,68885.2875957972,68879.96,68881.49,68597.38391264634,69174.39961264892
2026-03-26 16:45:00+00:00,2026-03-26 17:00:00+00:00,68881.49,68886.64077754616,68881.49,68864.77,68605.68228110185,69168.74987367987
2026-03-26 17:00:00+00:00,2026-03-26 17:15:00+00:00,68864.77,68869.70813281173,68864.77,69036.84,68595.87258341258,69144.6368370217
2026-03-26 17:15:00+00:00,2026-03-26 17:30:00+00:00,69036.84,69040.68706118257,69036.84,68898.37,68759.2000137877,69323.32646284906
2026-03-26 17:30:00+00:00,2026-03-26 17:45:00+00:00,68898.37,68900.52257415465,68898.37,68437.5,68621.76587416713,69180.41164514425
2026-03-26 17:45:00+00:00,2026-03-26 18:00:00+00:00,68437.5,68439.55759384326,68437.5,68402.04,68109.96250575838,68770.74764569105
2026-03-26 18:00:00+00:00,2026-03-26 18:15:00+00:00,68402.04,68405.23626744458,68402.04,68139.95,68084.08171486722,68727.90571519337
2026-03-26 18:15:00+00:00,2026-03-26 18:30:00+00:00,68139.95,68145.34194839574,68139.95,68271.28,67819.5869369604,68472.66164537796
2026-03-26 18:30:00+00:00,2026-03-26 18:45:00+00:00,68271.28,68278.6125540621,68271.28,68431.78,67950.24116030122,68608.57081153973
2026-03-26 18:45:00+00:00,2026-03-26 19:00:00+00:00,68431.78,68438.95617767393,68431.78,,68105.95758550854,68773.58293962528
