time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-03-26 14:00:00+00:00,2026-03-26 14:30:00+00:00,2074.78,2073.9093488448816,2074.78,2074.99,2058.521474805697,2089.412250427059
2026-03-26 14:30:00+00:00,2026-03-26 15:00:00+00:00,2074.99,2074.1713968981944,2074.99,2064.3,2059.129186817974,2089.3234923054474
2026-03-26 15:00:00+00:00,2026-03-26 15:30:00+00:00,2064.3,2063.5415968054067,2064.3,2068.61,2048.488408081581,2078.705402943449
2026-03-26 15:30:00+00:00,2026-03-26 16:00:00+00:00,2068.61,2067.7199010875884,2068.61,2063.18,2052.718948050728,2082.830478772396
2026-03-26 16:00:00+00:00,2026-03-26 16:30:00+00:00,2063.18,2062.2723337371804,2063.18,2059.21,2047.624834633801,2077.024612400933
2026-03-26 16:30:00+00:00,2026-03-26 17:00:00+00:00,2059.21,2058.356562233516,2059.21,2066.7,2044.0907881121568,2072.721897642693
2026-03-26 17:00:00+00:00,2026-03-26 17:30:00+00:00,2066.7,2065.760858000897,2066.7,2047.68,2051.140255344363,2080.485676847174
2026-03-26 17:30:00+00:00,2026-03-26 18:00:00+00:00,2047.68,2046.8531172901733,2047.68,2035.47,2030.3116992722703,2063.5293020584927
2026-03-26 18:00:00+00:00,2026-03-26 18:30:00+00:00,2035.47,2034.6392332187147,2035.47,2045.29,2018.452132638566,2050.956147244005
2026-03-26 18:30:00+00:00,2026-03-26 19:00:00+00:00,2045.29,2044.2949144865024,2045.29,,2027.6534609753248,2061.0729485230486
