time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-04-03 17:30:00+00:00,,80.22,80.2592039240626,80.22,80.18,79.85888899841721,80.66152553977975
2026-04-03 17:45:00+00:00,,80.18,80.2279137123812,80.18,80.2,79.82827960969182,80.6295484521482
2026-04-03 18:00:00+00:00,,80.2,80.25523628826487,80.2,80.28,79.85599102195388,80.6564776074785
2026-04-03 18:15:00+00:00,,80.28,80.3188066453368,80.28,80.21,79.9197704917433,80.71983517016584
2026-04-03 18:30:00+00:00,,80.21,80.25049376930473,80.21,80.1,79.85232191699397,80.65065104696275
2026-04-03 18:45:00+00:00,,80.1,80.14317771205381,80.1,79.98,79.7460625343673,80.54227042266594
2026-04-03 19:00:00+00:00,,79.98,80.02854841003953,79.98,80.1,79.63252469633174,80.4265416052176
2026-04-03 19:15:00+00:00,,80.1,80.14487748745574,80.1,80.15,79.74880234770316,80.54291974786359
2026-04-03 19:30:00+00:00,,80.14,80.17191082763682,80.14,80.19,79.77622650162012,80.56955771935411
2026-04-03 19:45:00+00:00,,80.19,80.20624241733807,80.19,,79.8109132897663,80.60352973725051
